S1_TN	S1_TP	S2_TN	S2_TP	S3_TN	S3_TP	S4_TN	S4_TP	S5_TN	S5_TP	S6_TN	S6_TP	S7_TN	S7_TP
EIF2B1	736	618	826	1047	1278	1154	1138	1294	1162	1146	1025	887	942	1250
DDX55	507	438	933	1075	897	1036	949	807	901	871	996	953	546	563
SLC38A1	11393	9122	11415	12628	12651	11688	11871	15662	16156	12518	12935	11910	14048	12578
RERGL	10	37	104	160	58	138	96	26	60	71	175	210	43	82
ENDOU	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C12orf49	324	369	501	837	402	503	333	686	325	323	372	341	528	246
VDR	11	4	34	23	23	17	20	25	28	36	32	16	53	6
FZD10	0	0	0	0	0	0	4	0	2	0	0	0	2	0
RFC5	808	659	851	1058	1080	998	1289	1285	971	796	992	852	997	1016
STX2	2455	2318	3562	3503	3259	2326	4783	3392	3375	2830	3573	2341	2236	2143
ADGRD1	407	353	188	499	200	411	274	508	325	379	187	512	116	246
COPZ1	412	352	357	645	489	584	399	1073	443	363	475	430	440	321
TBC1D30	1728	2254	2597	4656	2705	4129	3350	3965	2814	2923	3181	4137	3055	3105
CAND1	2825	2457	4008	4962	3138	3156	4511	4865	3924	3718	3724	3908	1729	2195
IL26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IFNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RAB5B	1700	1923	1536	2818	1860	2830	3740	5368	1591	1688	1842	1963	940	1111
MDM1	817	756	1346	1654	832	1215	1147	1331	1347	1369	887	1122	639	747
NUP107	855	754	1086	1245	1073	1045	1287	1128	1509	1501	1421	1371	704	1134
CNOT2	7011	5882	10302	9297	7738	6333	8438	8657	10652	7699	10798	8561	5031	4657
TIMELESS	61	54	66	72	51	53	21	299	56	99	27	49	1	22
CPSF6	3997	3656	6878	6825	5416	4268	5580	5690	8210	6404	7818	6956	2653	3022
KRR1	431	387	445	622	338	340	240	336	630	633	543	515	182	361
MRPL51	42	28	104	209	110	120	308	316	104	41	77	73	179	10
GAPDH	852	985	409	1029	660	657	1184	1647	711	647	827	747	104	123
NOP2	243	216	324	228	266	239	329	314	425	389	203	215	475	309
CHD4	862	770	1181	1392	994	1022	1247	1626	1032	813	1038	933	1254	572
ACRBP	17	25	11	13	3	15	10	4	34	38	3	8	1	27
UHRF1BP1L	5503	4981	7564	7566	8091	7053	7720	8892	7557	6309	8662	6098	6394	5646
COPS7A	174	159	266	610	350	495	662	621	187	181	309	324	87	280
ING4	418	322	481	574	611	486	494	476	556	458	520	454	472	540
GNB3	172	170	235	310	190	205	339	473	291	340	360	314	173	343
CDCA3	19	19	41	32	17	34	47	81	50	54	32	13	41	12
CHPT1	2770	2866	2657	3758	2603	3494	3700	3471	3414	3539	2886	3372	2372	3100
USP5	227	238	388	503	360	400	567	968	243	251	400	383	292	226
TPI1	277	232	288	488	598	791	709	1069	248	161	395	326	528	527
GNPTAB	6202	6214	8983	11279	8714	8851	12755	11911	9988	9442	10990	10377	4810	7015
SPSB2	13	12	18	14	11	11	16	3	22	14	7	10	13	19
ENO2	1795	1980	3055	5218	5497	7175	7317	10963	2469	2334	3543	3760	2400	3678
ATN1	2388	2316	1862	2428	4162	4218	4326	5727	1839	2040	2380	2146	2706	1972
C12orf57	38	30	28	62	46	36	163	43	32	49	25	35	0	11
PTPN6	82	76	38	40	79	52	44	120	39	51	10	22	21	90
LPCAT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NT5DC3	1620	2514	2817	4592	2761	3099	2913	5171	2566	3100	5279	4346	2648	3196
SLCO1B3	29	21	21	19	15	15	42	46	20	38	38	37	9	28
APOBEC1	0	3	0	0	3	5	3	2	1	0	1	1	3	3
NANOG	6	1	4	6	4	6	52	47	4	2	1	11	1	0
SUDS3	3404	2909	3477	4293	3579	3276	4898	5337	3405	3005	4715	3885	2967	2779
GOLT1B	572	597	2809	2533	1708	1370	2049	2407	1248	1011	3296	2570	526	862
GYS2	506	490	271	294	223	259	198	203	431	447	143	154	248	253
LDHB	1062	1618	1708	2887	1033	1803	3089	4774	1732	1698	1674	1810	697	1288
PRKAB1	533	518	873	988	843	587	742	517	841	623	906	637	436	288
CMAS	662	635	907	1314	643	624	890	1119	974	848	906	765	693	436
HCFC2	911	998	1798	2531	1408	1428	2134	2379	1639	1550	1641	1641	949	870
ST8SIA1	10013	13613	6384	14389	6006	11631	5433	10823	9408	12391	7813	12634	5810	10546
CLEC4A	89	106	125	156	109	114	128	182	145	125	190	174	35	45
C2CD5	8791	8645	16663	17878	10427	11450	13140	13708	14453	12354	16142	14429	5916	7939
AICDA	3	0	4	0	1	1	0	0	2	1	0	1	0	0
RAB35	317	306	321	473	343	431	535	216	336	334	275	311	211	141
PHC1	747	696	1568	2015	1764	1790	2322	2521	1122	1169	1601	1880	1499	2050
COX6A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL021546.6	5	1	12	22	14	21	13	38	13	16	2	9	1	11
RFX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RIC8B	6403	5943	8930	10336	6445	7585	8422	8839	7410	6963	7191	7111	4819	5582
SRSF9	246	325	342	481	238	170	182	262	324	398	245	278	124	117
RP11-22B23.1	28	47	5	14	23	35	26	83	55	114	52	118	5	50
FGFR1OP2	3688	2877	3926	3004	2735	2001	3211	2489	4853	3070	3099	2395	2010	1425
KLRB1	181	167	273	259	234	251	252	421	276	370	364	530	216	91
COL12A1	1352	2310	953	6542	781	5417	1117	4523	1934	4858	827	4645	1256	2572
BTN3A3	106	250	236	408	251	273	278	480	233	385	225	293	148	329
TDP2	1014	935	1125	1419	731	804	949	810	1439	1422	1163	1167	594	697
FRK	268	429	631	587	643	479	383	387	555	386	694	450	443	736
DSE	2668	2358	1793	2176	1423	1678	1542	1855	2958	2858	1665	1530	1131	1575
RWDD1	548	567	1045	1406	768	710	875	1989	990	740	887	752	401	643
RSPH4A	251	177	416	534	173	176	405	585	293	281	262	317	195	287
MAK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMEM14C	244	258	155	311	205	328	149	443	183	240	150	222	182	367
PAK1IP1	206	168	442	542	247	284	361	428	345	284	311	300	85	171
GCNT2	167	149	50	767	68	471	391	585	244	454	88	436	191	297
SMIM8	2614	1949	3974	3301	2828	2100	3359	3132	3591	2540	4020	2551	2527	2725
NEDD9	1666	1554	1361	1540	1348	1375	1142	1579	1654	1482	1715	2074	2039	2004
CEP85L	9406	10530	8827	14214	8517	10672	8711	10980	9919	11325	8280	10500	6539	8041
ADTRP	964	1096	1502	2600	1254	1376	2804	2081	1879	1824	1169	1497	675	1141
ASF1A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCM9	1071	1232	1450	2488	1623	2588	1250	3024	1660	2086	1470	1811	1085	1610
FAM184A	1443	1546	3915	4553	2757	2733	3630	3236	3024	2668	3569	2770	2160	2083
RNGTT	8594	7925	12125	13494	9699	9707	10363	11494	11971	10648	10878	10812	5043	5458
MAN1A1	10633	6923	25713	14041	14721	9476	16769	14191	16546	9753	18164	7211	9858	7068
GABRR2	101	48	46	114	22	75	16	122	112	80	20	108	26	35
SERINC1	2121	2408	3018	5141	1778	2704	9399	12436	4004	3642	3268	2937	786	1334
HDDC2	717	613	1176	1280	675	699	1636	1340	766	859	877	799	267	553
TPD52L1	650	1213	1548	1327	1223	909	975	643	869	975	874	533	441	465
HINT3	1029	1142	1246	1686	877	1026	1269	1947	1363	1109	1759	1579	512	1111
NCOA7	10303	9651	11261	10941	11120	8435	14407	12120	12615	10853	10705	8327	7895	8765
FAM65B	3129	4199	5035	9700	2769	4690	9742	12755	5417	6133	3569	6004	4314	6988
SASH1	2422	3060	3158	4206	3964	4668	3592	4402	3274	3478	7017	5810	2748	2927
UST	865	1778	834	4215	862	4534	1346	2989	842	2386	636	2433	579	1832
ULBP1	72	37	62	20	92	19	15	260	75	30	32	21	77	156
FBXO5	62	61	86	84	21	17	52	13	96	69	56	55	64	12
MTRF1L	665	699	832	1193	709	864	1268	1199	1130	1070	906	1022	714	916
PPARD	3052	3090	2569	3738	3704	3632	2901	3614	2840	3012	2443	2613	3090	3084
OPRM1	4417	6895	3277	6998	2273	4064	12261	11963	8185	9413	2103	4685	2375	5841
FANCE	132	75	89	83	48	55	49	65	192	83	153	85	130	101
TULP1	6	7	2	0	1	4	1	0	11	1	3	3	6	1
SLC26A8	400	505	1005	1687	1466	1597	1928	1827	732	1028	1222	1402	620	1247
MAPK14	9265	8579	11876	11117	11404	9761	12236	11544	12218	11590	15099	11542	10012	11387
RHAG	1	0	2	0	1	2	1	2	1	0	0	0	1	0
KCTD20	1220	1033	1448	1927	1752	1740	3155	2214	1579	1525	1741	1764	1886	1398
STK38	1915	2878	2003	4174	1959	2841	2457	2813	2604	3729	2118	3281	2109	3125
SRSF3	932	763	1286	1749	1156	1118	1213	2183	1275	1102	691	767	1291	696
SOD2	1415	1575	1458	2157	1472	1944	1966	2789	1533	1472	1404	1625	625	1013
MRPL18	293	223	290	423	272	252	583	585	331	283	273	216	185	228
IL17A	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL17F	0	0	5	0	0	0	0	0	1	1	2	0	0	1
MCM3	94	115	146	181	105	156	176	242	154	127	149	174	60	71
RNF8	982	1109	1639	2018	1521	1601	1496	1606	1637	1704	1625	1477	1527	1177
PHACTR1	145847	108715	167207	109552	130738	85241	131800	101449	140451	121872	149140	106053	146443	125040
MDGA1	1176	584	1185	882	1168	521	1155	1584	988	988	657	404	1328	705
ICK	1192	1312	1439	1864	1059	1157	1684	1826	1400	1498	805	893	809	948
FBXO9	1359	1522	2307	3024	1873	2056	2573	2738	2395	2317	2226	2045	1443	1602
CD83	144	166	210	369	121	287	541	616	233	281	353	337	263	576
MDN1	8665	7793	10864	12725	10770	10466	9751	12541	11421	10941	12836	12398	10502	10775
GLP1R	45	65	177	54	484	20	248	81	83	32	234	32	448	21
SAYSD1	81	120	234	348	267	277	564	564	227	229	195	186	310	53
BMP5	24	52	23	44	9	25	8	66	34	35	9	36	26	104
BACH2	8269	7621	11183	19631	9840	14939	15511	20226	9431	10483	8500	11776	6598	5947
RBM24	531	536	1125	988	518	388	792	579	1002	747	1038	735	324	249
CAP2	10928	10814	14003	15930	14631	14039	16074	18810	12974	12733	10288	10161	12459	10784
TREML2	0	11	9	9	0	2	2	62	0	6	1	2	0	0
ZNF451	2773	2427	2374	2704	2140	1996	2514	3184	3320	2826	2903	2655	1405	1529
BAG2	769	615	774	890	781	732	734	708	1182	1020	642	623	568	890
RAB23	1152	1008	1520	1623	1208	952	1057	1142	1976	1585	1224	1009	943	823
TSPO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FHL5	19	19	15	28	30	33	42	9	41	67	29	30	54	98
GPR63	1491	2144	1704	2714	1678	1890	2169	2920	1969	2379	1823	2010	1168	2069
KHDRBS2	93789	71745	103314	79953	76445	64102	75588	73466	112610	94856	133864	108907	83167	85938
FBXL4	2248	1949	4103	5886	3760	4413	4298	4415	3552	3258	4973	6020	2384	2262
CCNC	2400	2107	3134	3684	3016	2827	4270	3247	3845	3116	3673	3495	1987	2188
PRDM13	0	0	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	2866	3892	6509	7346	5340	5032	6390	6538	4300	4102	5910	5512	3960	4914
PTP4A1	500	509	713	1189	568	808	1209	1507	673	561	806	825	499	374
SIM1	12	7	14	31	7	8	0	1	54	20	69	18	23	6
ASCC3	11949	12855	15415	17947	13384	13685	12848	13742	15746	15355	16740	15748	12929	14635
HDGFL1	13	26	2	25	16	21	46	33	28	14	2	26	31	2
BVES	208	203	122	441	94	333	316	308	219	243	115	298	258	232
COL9A1	89	84	49	246	41	177	115	250	122	293	51	222	17	104
MED23	2180	2078	3543	4308	2708	2592	3419	2716	3388	3616	3476	3476	1701	1943
WASF1	15521	10653	22684	15130	21056	13909	19540	17671	20740	14031	23631	14512	19435	14669
GPLD1	1667	1877	1999	3700	1926	3135	2993	3252	2164	2321	2103	2806	1560	2837
ALDH5A1	1967	2029	2164	3784	2786	3478	3077	4246	3088	3478	2411	3056	2974	2775
AIM1	732	714	1353	1716	1705	1925	1448	1745	1195	1095	1587	1595	1195	1653
VNN1	1	0	0	0	1	2	1	1	2	2	1	1	1	1
VNN2	0	9	1	2	0	0	0	0	6	3	0	0	0	23
ACOT13	810	855	936	1288	788	991	579	1141	1202	1233	917	977	812	1106
SMAP1	10636	11496	9828	10826	10192	9953	12461	10055	12311	10748	9683	10666	7301	10351
RPS12	98	85	180	339	156	244	387	483	144	100	127	135	93	71
C6orf62	1159	972	2561	2920	1701	1353	2350	2518	1755	1212	1924	1345	901	718
B3GAT2	374	941	261	797	250	862	292	1083	440	1373	278	618	323	964
GMNN	98	97	89	124	45	85	65	101	114	149	118	129	33	99
EYA4	828	2317	173	2506	329	2157	339	2074	568	2817	349	3716	618	1943
SOBP	16789	14478	21168	21567	17259	15009	18052	19422	18090	16737	16169	13861	18096	14842
NR2E1	178	119	13	449	8	389	611	492	223	361	24	292	1025	224
SNX3	1815	2278	1927	2637	2469	3344	3948	2349	2008	1891	1718	1677	1770	2364
SLC17A2	1	0	0	0	0	1	0	0	1	0	1	3	1	0
HBS1L	4123	3750	6345	6951	4177	3903	4558	5267	6255	5199	7087	5739	2903	3836
TRIM38	9	2	3	8	0	1	7	0	11	7	12	8	61	1
PEX7	792	582	1754	2014	1437	1684	2659	1957	1272	995	1946	1832	1098	1023
ZBTB24	340	417	610	949	553	542	734	582	536	456	705	568	781	277
FIG4	5236	4873	7837	7300	5843	5255	5664	6526	6961	5818	8980	6256	5397	5028
PERP	37	46	44	65	27	43	30	80	68	47	21	40	59	6
ARFGEF3	16980	14473	25486	22615	22745	15735	27349	25907	23145	18239	34700	20296	19489	15324
SLC16A10	3431	3312	6389	4879	6276	4854	7042	4388	4761	3187	5613	4020	4148	4755
HECA	89	98	124	214	118	115	173	120	111	139	106	128	14	14
ADGRG6	23	86	12	465	12	238	85	565	63	253	28	184	39	35
PHACTR2	5904	7354	4559	7773	6353	8067	5540	9443	6493	7704	5168	5459	5188	6913
EPM2A	1912	1907	3142	5139	2461	3315	3135	4094	2642	2429	2947	3532	2415	2598
OR12D3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC39A7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCR6	1	3	3	27	9	21	6	12	4	16	6	18	0	1
UNC93A	0	9	1	5	2	1	0	0	2	9	0	2	0	2
SLC22A2	118	163	93	80	52	51	21	57	165	217	31	49	79	212
PHF1	0	1	2	1	1	1	23	0	0	1	1	1	11	0
CUTA	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PACRG	13564	17502	21419	26165	15503	18869	18850	28552	18093	23366	25322	29791	12925	17917
QKI	11470	10153	6398	12970	5315	9243	12985	13090	9503	11393	4146	8774	7006	7070
C6orf118	69	39	139	184	51	76	88	142	155	192	138	184	65	82
PDE10A	15749	17875	34122	42632	28720	34149	20626	29937	19537	23376	21412	30751	14552	18098
MDFI	2	3	1	4	0	8	5	1	2	7	0	4	100	1
TFEB	958	954	397	436	398	364	716	342	814	635	208	281	1124	771
SMOC2	34	59	67	359	55	428	158	112	44	166	117	284	33	137
CCND3	6399	5480	2168	2851	3781	4530	6181	5889	4401	4518	1048	1530	5415	5433
BYSL	187	158	192	227	82	64	115	152	182	129	36	63	82	40
FAM120B	498	425	984	1014	852	711	297	275	980	1109	1225	1043	683	825
TBP	553	557	1220	1327	1066	903	1445	1362	905	897	1205	1144	640	703
GUCA1B	593	482	459	543	455	478	642	459	483	421	583	517	199	279
PRPH2	114	113	164	205	209	211	274	296	192	183	165	150	129	107
GLTSCR1L	5775	5903	6494	9097	8519	10260	10519	11758	7166	7708	6193	7406	5992	7883
PPP2R5D	743	744	715	1022	784	858	1024	1504	756	731	790	802	521	627
MRPL2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTK7	215	436	55	561	73	538	335	594	221	485	38	424	127	191
SRF	592	492	652	972	1028	1303	1144	1488	486	462	530	477	869	838
CUL9	1382	1107	2237	2173	2481	1853	2767	2299	1888	1778	2952	2523	1811	1765
DNPH1	40	29	72	93	48	64	90	134	35	43	41	33	18	28
DUSP22	895	871	909	1133	876	1013	902	1089	738	798	647	707	588	439
EXOC2	8508	7659	9612	9872	10809	8469	12654	10354	12975	10876	14293	12492	8330	9672
COX7A2	542	443	499	701	382	407	691	939	619	459	607	533	241	337
TMEM30A	1482	1564	2044	2376	1250	1188	2553	2960	2076	1810	2252	1889	787	662
GMDS	13874	15139	19113	20262	17965	16343	18188	19486	15862	16515	16200	16529	13524	14643
SENP6	7935	7718	10367	12652	9565	11138	11769	12756	12023	11442	11109	10848	6949	8025
IMPG1	144	225	206	264	182	242	194	72	251	267	249	286	349	521
VEGFA	249	208	152	262	300	314	258	128	333	360	264	253	1134	906
PRPF4B	1667	1581	1781	2033	1669	1817	1543	1719	2293	2635	1760	2085	1876	1942
TTK	17	25	20	12	14	4	22	1	41	37	6	8	11	5
SLC29A1	339	354	576	1019	719	749	832	1346	465	520	485	662	558	580
WISP3	60	57	53	83	65	59	58	78	85	77	46	46	36	52
BTN2A1	482	511	508	695	492	567	1277	724	631	592	508	523	331	524
LAMA4	1514	2141	964	3130	1672	3646	1642	2236	1549	2966	1042	2198	1123	2144
FAM46A	84	102	88	341	113	209	301	217	147	253	143	276	134	115
CLIC5	1228	1437	713	1265	1000	1388	1177	1680	1321	1843	1427	1964	1159	1281
FBRSL1	1892	1657	1556	1870	2123	1583	2413	1985	1970	1866	1554	1301	1921	1366
ENPP5	587	671	1151	1423	666	734	1574	1901	1212	1224	495	506	619	605
LY86	31	23	21	56	29	44	65	48	23	32	31	55	39	68
PRSS16	57	98	67	108	68	145	64	120	34	82	73	98	89	135
MEP1A	0	10	6	7	6	0	0	1	3	5	6	7	2	0
TBX18	10	2	3	19	3	4	21	36	13	20	8	5	2	1
ERBB2IP	4100	4548	5754	7880	5504	6224	7433	7149	6743	6900	5740	6281	4517	5550
PCDHB2	45	82	58	119	90	96	163	184	90	104	29	59	37	268
HARS2	120	90	268	246	165	179	88	231	187	215	249	274	90	34
NUDT12	135	115	213	355	112	170	155	256	197	190	318	391	79	116
CEP72	967	989	1022	1389	990	1293	1316	1426	1409	1686	1202	1194	1511	1144
MAN2A1	12103	14735	10529	18346	6462	9827	20225	16448	14266	14987	11148	16154	6510	8973
SEMA5A	1931	3065	1556	3905	1637	1891	3745	5847	2415	3589	2683	4216	3895	3637
C7	0	2	0	17	10	6	21	0	26	60	3	6	4	8
PAPD7	3100	2873	4381	5188	3465	3390	5150	3710	3638	3580	4817	4307	1712	2302
GHR	4418	8697	4348	13538	3150	9351	9743	14935	6255	13119	5736	12447	3044	8337
HMGCS1	879	1080	1415	1381	1230	970	1175	1194	1737	1135	1598	944	1152	1091
DAP	722	504	1443	1723	1340	932	1694	2173	954	913	826	787	946	680
NME5	804	1402	2014	2775	1940	2524	1711	2793	1098	1689	1791	2169	1260	1844
BRD8	1919	1232	2866	2450	3203	2125	3439	2624	2779	1956	3252	1735	1840	1873
KIF20A	35	38	48	42	29	27	161	42	38	68	17	26	16	61
NNT	6698	6650	8778	9808	5706	6255	7236	7126	7716	6365	11509	8946	3632	4275
MRPS30	1867	1691	2572	2486	2456	1956	2124	2191	3504	2655	3118	2319	1207	1086
HSPA9	1580	1297	2021	2232	2348	2034	2126	3142	2166	1621	2478	1935	2012	1389
MRPS27	2700	2674	3827	4299	3015	3120	4388	3959	3703	2914	4460	3683	2758	2833
PFDN1	138	106	285	405	80	96	168	184	259	226	153	156	34	51
HBEGF	79	66	89	224	90	112	188	195	119	137	108	135	116	47
SLC4A9	127	202	99	198	98	216	129	137	128	138	84	121	200	45
LOX	17	20	26	26	20	19	50	3	24	40	13	10	20	99
GZMK	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDH9	19407	11301	40551	22692	25667	13697	37024	23962	39392	19041	49104	25806	19976	12322
APBB3	432	335	692	803	429	359	564	433	563	469	513	437	271	238
TMCO6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARC	34	69	294	318	280	179	838	491	262	266	316	189	142	51
IK	472	398	792	802	645	715	1123	1056	570	551	551	614	567	370
HMGCR	1185	1074	2210	1950	1768	1452	1930	2422	2262	1489	3001	1548	1185	1331
COL4A3BP	4870	4845	6282	7867	5784	6005	5672	6401	6609	6448	5703	5419	5184	5353
FAF2	1640	1465	2135	2692	2854	3126	3989	4334	2315	1996	2536	2266	1640	2176
HAND1	1	0	0	0	0	0	0	0	2	0	2	0	0	0
PCDHB3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCDHB7	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDE8B	25329	17300	32978	23986	31457	19016	31303	28246	29642	21382	40529	19859	24019	19354
CLK4	1838	1302	4880	4099	2299	1690	3327	2674	2733	2135	3461	2549	850	1078
PCDHB15	151	170	264	327	225	190	553	446	271	325	230	284	193	188
HAVCR1	33	27	20	65	40	34	45	105	24	78	58	72	73	174
GRM6	59	69	38	87	39	77	74	63	47	75	24	30	8	10
ITK	11	8	16	31	9	12	5	25	12	11	23	19	47	35
RNF130	10859	12169	13618	16402	15270	15734	22435	24783	16538	18595	13060	13019	13583	14918
THG1L	58	69	93	83	89	87	247	183	95	61	80	48	45	47
ARSB	3913	3925	3953	5420	5103	6207	5186	5998	4030	4528	3900	4486	3724	4171
CLINT1	2284	2313	3372	3536	3550	2881	4506	3881	3201	2751	2913	2480	2306	2735
THBS4	657	980	722	1568	574	997	539	900	1090	1608	631	997	831	1537
CNOT6	2687	2257	3430	3361	2993	2913	2952	2648	3298	2732	2729	2290	1698	1201
IL12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BTNL8	60	78	33	85	49	60	43	125	64	74	30	55	30	61
TTC1	3287	3227	3837	4736	3967	4244	4784	5214	4599	4494	4189	3782	3275	4052
MSH3	4800	4716	7865	9428	7446	7118	8610	8127	7272	6440	8461	7384	4636	4700
RASGRF2	18100	11456	38395	24618	36643	21835	23879	25159	35286	21724	73728	33698	33414	26171
GABRG2	11991	12277	17815	19223	10776	10091	18829	18021	18822	14525	16317	13270	8752	8091
CCNG1	240	222	284	423	194	274	268	475	397	421	289	326	128	180
POLR3G	873	972	1416	1688	955	1246	1420	1149	1548	1474	1546	1679	699	1279
DROSHA	4457	4690	5306	7732	5430	6161	6206	7824	6401	6308	6471	6627	3803	4841
CDH6	1875	3246	1558	2585	1481	1662	2867	3677	3060	3272	1546	2275	1952	2970
LMNB1	638	511	704	1366	598	1046	986	1011	881	819	703	809	412	490
ARRDC3	307	226	390	580	302	307	364	488	399	388	513	414	118	109
GOLPH3	2859	2877	3088	4230	2851	2853	3248	4775	3345	3011	3152	2838	1313	1550
SUB1	1386	1180	2770	2691	2591	1953	2785	2592	2263	1841	2459	1720	1137	1093
NPR3	165	214	129	607	155	287	185	274	168	258	123	323	181	217
FAM172A	19555	17807	26418	26158	20393	21040	20718	23100	26456	23908	26742	25761	15417	17253
SLC27A6	302	578	214	1017	172	481	443	1047	334	707	231	637	227	809
TARS	679	467	711	950	656	557	522	571	1198	857	645	572	446	385
IRX4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LNPEP	4054	4842	4569	7888	3818	4966	7189	8560	4823	5696	4709	5251	2034	3331
PDE4D	220781	199451	252038	169677	190044	127648	198099	153387	258550	218286	240301	185340	213000	204805
RAD1	449	439	589	797	571	647	668	1444	635	596	761	688	750	1193
BRIX1	174	205	397	365	222	240	304	351	330	248	408	284	113	299
AGXT2	27	36	34	62	31	36	210	21	40	42	44	48	43	36
PRLR	448	1371	181	709	153	654	620	1462	434	1251	289	1112	177	737
SLC12A7	100	94	16	25	22	24	20	8	60	50	28	36	17	20
IL4	176	138	106	73	100	85	97	106	194	124	62	100	79	57
RAD50	5504	4759	6765	8205	6452	6923	5277	5662	8389	8651	7780	8191	6026	6536
IL5	277	328	321	578	615	778	415	450	386	386	458	700	232	455
ST8SIA4	428	906	774	2827	624	1920	1015	3170	876	1947	1582	2704	364	1732
GNPDA1	756	674	1159	1235	1187	943	1472	1488	970	795	1277	889	759	1151
PCDH12	565	435	483	595	484	360	644	609	627	571	501	438	423	343
SKP1	1542	1521	2423	2689	1746	1897	2594	3410	1873	1768	2202	2157	1217	1410
NUP155	886	944	1395	1776	1536	1902	1865	2156	1359	1129	1359	1347	880	1599
PPP2CA	739	911	932	1455	779	918	820	1556	983	952	1223	1172	765	525
FGF1	65	154	521	1340	1153	1493	1166	1706	253	412	591	918	363	879
NR3C1	19234	17189	19539	18300	12289	11326	14653	13502	20706	18112	16099	13699	9975	11183
C5orf15	685	655	875	1089	503	535	763	1037	1006	883	716	610	473	302
PPWD1	2117	1833	3350	4198	2134	2343	2923	2554	3277	3408	3845	3707	1780	1805
LIFR	2991	4868	2177	4256	2129	3255	2783	3797	3808	5048	2681	3818	2188	3071
TRIM23	1301	1230	1900	2508	1275	1289	1694	2579	1891	1678	1846	1857	928	746
TRAPPC13	1286	1190	2538	2436	1830	1759	2064	1865	1974	1453	2536	2080	1029	1188
C9	89	62	76	168	49	54	151	89	96	107	43	72	143	68
SEC24A	1204	1150	1956	2229	3119	2285	2903	2765	1972	1470	2249	1765	2613	2053
TXNDC15	880	831	2189	3318	3188	3746	4552	5536	1075	886	934	1018	1164	833
TTC33	1181	1258	1219	2009	949	1199	1024	1898	1459	1490	1346	1520	579	881
RARS	938	805	1982	1921	1405	1136	1515	1759	1443	1234	1773	1477	807	1083
WWC1	3922	3230	4976	4791	5838	5059	6549	5743	4215	3392	3194	2838	5534	4942
H2AFY	2912	3022	3949	4627	3343	2810	5171	4931	3772	3481	4230	3308	2940	3412
TCERG1	5589	4974	11451	11467	9351	8260	7284	7781	10171	9422	13277	11356	7379	7729
DPYSL3	1915	2056	2483	3415	2024	2288	4357	5380	3412	3424	3633	3739	2223	2851
SMAD5	1394	1336	1672	2444	1113	1342	1266	1876	1880	1815	1275	1427	807	956
CSNK1A1	2317	2294	4067	4636	3245	2681	4501	3948	3360	2821	4284	3395	2441	2642
HMGXB3	1546	1389	2608	2648	2217	1825	3348	3023	2037	1528	2059	1571	1272	1125
ERGIC1	5403	4863	4191	6823	5203	5604	5649	8156	4753	4613	3763	4075	4929	4472
PDGFRB	1483	1407	854	999	950	902	356	466	1226	1306	544	659	593	641
CDX1	0	7	10	4	0	2	1	17	10	3	3	14	0	0
ATP6V0E1	1144	1164	1643	2129	1837	2135	2529	2766	1243	1438	1479	1412	1204	1590
BNIP1	114	77	143	297	165	229	103	175	126	122	136	178	164	126
STC2	12	5	37	29	93	3	39	21	24	27	43	17	13	90
CPEB4	11661	9575	15868	14924	14889	12031	16372	14115	15185	11338	16753	11217	9976	8112
HRH2	1484	1239	2695	2399	2483	1700	1971	2699	2031	1537	2253	1316	2451	1885
DBN1	1243	967	1004	813	1342	819	1117	1451	1455	1202	1041	685	1077	743
ZNF346	3641	2872	5090	5178	6127	5193	5732	5646	4648	4035	5598	4299	5632	5659
UNC5A	9813	7590	7634	6556	8547	5575	8433	8105	7775	7746	5916	4692	6716	8132
EHHADH	142	146	350	302	345	383	244	298	261	241	508	426	121	135
CNTN3	26341	20880	42855	33519	30376	21905	34781	25057	46442	30775	43603	36246	29984	25435
SMC4	125	105	198	169	125	113	299	51	239	232	150	174	134	47
SELK	122	87	185	206	170	135	361	372	163	135	164	145	172	37
ACTR8	264	235	415	544	297	327	463	577	427	355	411	339	157	190
TBCCD1	328	337	584	722	413	449	459	324	500	538	413	402	143	479
